timestamp,position lat,position long,heart rate,cadence,distance,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,
1069685736,-2821826,-936353652,70,0,915762,0,15872,16988,0,2,70
1069685738,-2818489,-936353270,69,0,918877,0,15844,16993,0,2,69
1069685740,-2815021,-936353078,67,0,922095,0,15918,16996,0,2,67
1069685741,-2813288,-936353020,66,0,923702,0,15946,16997,0,7,66
1069685743,-2809870,-936352999,65,0,926871,0,15974,16997,0,2,65
1069685745,-2806521,-936353051,66,0,929975,0,15965,16996,0,7,66
1069685747,-2803199,-936353176,66,0,933056,0,15937,16992,0,7,66
1069685748,-2801456,-936353285,65,0,934675,0,15927,16989,0,2,65
1069685750,-2797953,-936353509,65,0,937928,0,15890,16986,0,2,65
1069685752,-2794463,-936353719,66,0,941169,0,15899,16983,0,2,66
1069685754,-2790982,-936354036,66,0,944408,0,15909,16981,0,2,66
1069685756,-2787511,-936354420,67,0,947644,0,15937,16977,0,2,67
1069685758,-2783907,-936354836,66,0,951007,0,15974,16974,0,2,66
1069685760,-2780203,-936355145,66,0,954452,0,16058,16972,0,2,66
1069685762,-2776454,-936355440,66,0,957937,0,16357,16969,0,2,66
1069685763,-2774582,-936355572,66,0,959677,0,16562,16967,0,2,66
1069685765,-2770825,-936355846,67,0,963168,0,16898,16961,0,2,67
1069685767,-2767117,-936356115,69,0,966614,0,17374,16952,0,2,69
1069685769,-2763446,-936356366,73,0,970025,0,17392,16941,0,2,73
1069685771,-2759805,-936356594,75,0,973405,0,17383,16929,0,7,75
1069685773,-2756110,-936356819,74,0,976837,0,17364,16918,0,12,74
1069685775,-2752409,-936357143,73,0,980280,0,17318,16905,0,12,73
1069685777,-2748659,-936357705,70,0,983796,0,17299,16892,0,18,70
1069685780,-2744914,-936358536,67,0,987354,0,17299,16878,0,12,67
1069685781,-2743052,-936359118,67,0,989162,0,17299,16871,0,12,67
1069685783,-2739391,-936360555,66,0,992810,0,17318,16858,0,12,66
1069685785,-2735844,-936362319,66,0,996486,0,17747,16844,0,12,66
1069685787,-2732559,-936364347,66,0,1000072,0,17952,16830,0,12,66
1069685789,-2729474,-936366693,66,0,1003674,0,17952,16817,0,12,66
1069685791,-2726816,-936369068,66,0,1006988,0,17962,16805,0,12,66
1069685792,-2725172,-936370712,66,0,1009150,0,18027,16799,0,12,66
1069685793,-2723933,-936372133,66,0,1010904,0,18046,16792,0,12,66
1069685795,-2721642,-936375050,66,0,1014356,0,18176,16780,0,12,66
1069685797,-2719521,-936378023,66,0,1017756,0,17504,16766,0,12,66
1069685799,-2717406,-936381012,66,0,1021164,0,17131,16753,0,12,66
1069685801,-2715538,-936383699,66,0,1024211,0,17262,16739,0,12,66
1069685803,-2713604,-936386651,66,0,1027497,0,17057,16725,0,12,66
1069685805,-2711734,-936389513,67,0,1030681,0,16982,16714,0,2,67
1069685807,-2709618,-936392623,68,0,1034183,0,16543,16705,0,2,68
1069685808,-2708636,-936394046,69,0,1035793,0,16543,16699,0,2,69
1069685810,-2706859,-936396664,69,0,1038738,0,16366,16687,0,2,69
1069685812,-2704756,-936399817,68,0,1042267,0,16291,16676,0,2,68
1069685814,-2702961,-936402850,68,0,1045551,0,16263,16667,0,2,68
1069685816,-2701547,-936406059,68,0,1048821,0,16263,16654,0,2,68
1069685818,-2700685,-936409452,68,0,1052088,0,16310,16640,0,2,68
1069685819,-2700445,-936411217,68,0,1053750,0,16319,16633,0,2,68
1069685820,-2700376,-936413002,68,0,1055417,0,16366,16626,0,2,68
1069685822,-2700732,-936416647,68,0,1058836,0,16525,16611,0,2,68
1069685824,-2701615,-936420140,68,0,1062200,0,16590,16598,0,2,68
1069685825,-2702284,-936421749,68,0,1063823,0,16599,16593,0,2,68
1069685827,-2703792,-936424859,69,0,1067044,0,16609,16584,0,2,69
